CURSO NACIONAL AVANZADO DE LOS PROCESOS DE DONACIÓN DE ÓRGANOS Y TEJIDOS CON FINES DE TRASPLANTE HACIA UN MODELO MEXICANO.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
OBJETIVO GENERAL,,,,,,
"Desarrollar y consolidar competencias teórico-prácticas, clínicas, quirúrgicas en el equipo de salud multidisciplinario de donación y trasplantes, mediante entornos virtuales, simulación de alta fidelidad y modelos experimentales in vivo, orientados a optimizar la detección, el mantenimiento del donante y la viabilidad de los injertos bajo el marco normativo nacional e internacional.",,,,,,
OBJETIVOS PARTICULARES,,,,,,
"1. Actualizar el marco teórico y normativo vigente en México e internacionalmente respecto a las diversas modalidades de donación de órganos y tejidos.

2. Perfeccionar habilidades críticas de comunicación asertiva para el manejo de malas noticias y la entrevista de solicitud de donación familiar en escenarios de crisis.

3. Sistematizar la toma de decisiones clínicas y logísticas en escenarios complejos mediante simulación clínica, incorporando soporte orgánico avanzado (ECMO) y el mantenimiento crítico del donante.

4. Desarrollar destrezas quirúrgicas avanzadas in vivo y ex situ para la procuración, canulación y preservación de órganos y tejidos en modelos experimentales, integrando el entrenamiento especializado en bipartición hepática (técnica split) y perfusión de órganos ex situ.",,,,,,
Dirigido,,,,,,
"El programa está diseñado bajo un modelo de Educación Médica Continua Multidisciplinaria. Está dirigido estrictamente a profesionales en activo que forman parte del eslabón crítico en la cadena de donación y trasplantes:

Coordinadores de Donación: Responsables de la detección, logística hospitalaria, vínculo legal-administrativo y la aproximación familiar.

Intensivistas (Medicina Crítica): Encargados del mantenimiento hemodinámico óptimo del donante en la UCI y la certificación clínica de la Muerte Encefálica.

Anestesiólogos: Responsables de mantener la homeostasis y estabilidad del donante en el quirófano durante los tiempos críticos y la extracción.

Cirujanos de Tórax, Cardiovasculares y Abdomen: Líderes de la técnica quirúrgica de procuración, canulación y evaluación in situ de la viabilidad de los injertos.

Perfusionistas: Especialistas a cargo del cebado, monitorización y manejo del soporte circulatorio extracorpóreo (CEC/ECMO) para preservación orgánica.

Enfermeras Quirúrgicas: Profesionales clave en la instrumentación especializada, la gestión de soluciones de preservación celular y la preparación de la mesa de banco (back-table).",,,,,,
FASE 1: TEÓRICA VIRTUAL HÍBRIDA (ASINCRÓNICA Y SINCRÓNICA),,,,,,
Objetivo de la Fase: Homogeneizar las bases teórico-conceptuales del equipo multidisciplinario a través de la revisión selectiva de literatura científica y la introducción formal a los modelos de comunicación en crisis.,,,,,,
Acceso desde el 17 de Septiembre,Duración: 1 semana. Revisión de Material Previo. Examen Diagnóstico Inicial,,,,,
,,,,,,
,,,,,,
,Revisión del Manual Clínico de Comunicación en Situaciones de Crisis y Malas Noticias.,,,,,
,,,,,,
,,,,,,
,"Cierre con Clase Virtual el 21 de Septiembre de 9 a 12 hrs de Comunicación Intrahospitalaria, Herramientas de Comunicación y Entrevista Familiar. Ponentes: Dr. Rodrigo López Falcony, Dr. Juan Rodríguez, Dr Martínez Bernal y Dra Kenia Reyes",,,,,
,Clase Virtual 24 o 25 Septiembre Perspectiva Internacional de la Donación y Marco Normativo (OPS) por el Dr. Mauricio Beltrán (Washignston),,,,,
FASE 2: TEÓRICA PRESENCIAL ,,,,,,
"Objetivo de la Fase: Integrar los paradigmas asistenciales, legales y bioéticos de vanguardia en donación y trasplantes mediante ponencias magistrales interactivas con expertos de la red nacional e internacional.",,,,,,
28 SEPTIEMBRE (Auditorio de Recotría -  Universidad Anáhuac) ,,,,,,
HORARIO,No.,Título,Objetivo de Aprendizaje,NOMBRE DEL PONENTE,Duración,PAÍS
08:30:00,LLEGADA ALUMNOS,,,,,
08:50:00,BIENVENIDA A LA UNIVERSIDAD ANÁHUAC POR AUTORIDADES,,,,,
9:00-9:15 AM,1,El Modelo Mexicano de Donación y Trasplantes: Realidad Actual y Retos Normativos (CENATRA),Contextualizar el marco legal y regulatorio vigente en México frente al panorama global para identificar áreas de oportunidad en la práctica institucional., Dra. Rosa Erro Aboytia,15 min,MÉXICO
9:15-9:30 AM,2,El Modelo Español de Donación: Lecciones Aprendidas y Estrategias de Éxito (ONT),Analizar el sistema organizativo y de gestión de la Organización Nacional de Trasplantes de España para adaptar sus casos de éxito al entorno nacional.,Dr. Alonso Mateos Rodríguez,15 min,ESPAÑA
9:30-9:45 AM,3,"Estrategia Panamericana: Perspectiva, Marco Normativo y Cooperación Regional de la Donación (OPS)",Comparar los indicadores de donación en Latinoamérica con el fin de alinear las estrategias locales a las metas de la Organización Panamericana de la Salud.,Dr Jose Moya Medina,15 min,MÉXICO
9:45-10:00 AM,4,Gobernanza y Gestión de Calidad en los Procesos de Donación Hospitalaria (CETRA GTO),Analizar indicadores clave de rendimiento (KPIs) y control de procesos para auditar la eficiencia de los programas de donación hospitalaria.,Dr. Rodrigo López Falcony,15 min,MÉXICO
10:00-10:15 AM,5,Gestión de Riesgos y Seguridad del Paciente en el Proceso de Donación (CETRA GTO),Identificar y mitigar proactivamente los riesgos clínicos y administrativos que comprometen la viabilidad de los procesos de procuración.,Dr. Juan Salvador Rodríguez Jamaica,15 min,MÉXICO
10:15-10:30 AM,6,"Criterios Avanzados de Detección, Evaluación y Validación del Donante Potencial",Sistematizar las estrategias clínicas para la identificación oportuna y la validación estricta del donante potencial basándose en criterios de seguridad biológica.,Dra. Nubia Avilez Pacheco,15 min,MÉXICO
10:30-10:45 AM,COFFEE BREAK,,,,,
10:45-11:00 AM,7,Estrategias Críticas de Soporte Fisiológico y Mantenimiento Hemodinámico del Donante,"Revisar las metas terapéuticas avanzadas (metabólicas, ventilatorias y hemodinámicas) para contrarrestar la tormenta autonómica y optimizar la perfusión orgánica.",Dr. Walter Querebalu,15 min,MÉXICO
11:00-11:15 AM,8,Clasificación y Criterios de Selección en las Modalidades de Donación,"Categorizar las vías de obtención de órganos y tejidos, aplicando criterios de inclusión/exclusión para ampliar el pool de donantes de manera segura.",Dr. Juan Ignacio Torres González,15 min,ESPAÑA
11:15-11:30 AM,9,Certificación de la Muerte Encefálica: Del Tamizaje con Glasgow 7 al Test de Apnea,"Estandarizar la exploración clínica neurológica, el uso de pruebas confirmatorias de gabinete y la ejecución del test de apnea bajo la consigna del protocolo Glasgow 7.",Dra. Ericka Rivera,15 min,MÉXICO
11:30-11:45 AM,10,Donación en Asistolia Controlada (DAC): Límites del Tratamiento y Tiempos Críticos,"Analizar la secuencia temporal, los requisitos bioéticos para la adecuación del esfuerzo terapéutico y los periodos de touch-off en el donante en asistolia.",Dr. Juan Ignacio Torres González,15 min,ESPAÑA
11:45-12:00 PM,11,Donación en Asistolia No Controlada (DANC): Coordinación Prehospitalaria y Hospitalaria,"Esquematizar la cadena logístico-asistencial del donante en paro cardiaco refractario, optimizando los tiempos de respuesta desde el medio prehospitalario",Dr. Alonso Mateos Rodríguez,15 min,ESPAÑA
12:00-12:15 PM,12,"Donación Pediátrica y Neonatal: Consideraciones Fisiológicas, Legales y Abordaje Familiar",Determinar las particularidades fisiopatológicas del donante pediátrico y las directrices éticas específicas para el manejo del duelo familiar con padres o tutores.,Dr. Belén Estébanez Montiel,15 min,ESPAÑA
