Advanced Management in Heart Failure,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Learning Objectives
Assessment and Stratification: Identify, classify, and stratify patients with advanced heart failure to optimize their clinical management.
Comprehensive Medical Management: Apply advanced treatment strategies, including diuretic, inotropic, and neurohormonal therapy, to improve patient stability and prognosis.
Mechanical Circulatory Support: Determine the appropriate timing for the implementation of mechanical circulatory support—both temporary and long-term—and acquire skills for its management.
Destination Therapies: Analyze heart transplantation and long-term ventricular assist devices as definitive therapeutic options in advanced heart failure.
Databases and Organizations: Understand the role of major organizations and database analysis in optimizing outcomes in heart transplantation and ventricular assistance.
Palliative Care and Ethics: Recognize when and how to shift toward a palliative approach and address ethical considerations in decision-making for advanced heart failure.
Simulation and Decision-Making: Develop practical skills for managing complex clinical scenarios through simulation, enhancing decision-making in critical situations.",,,,,,,
Module 1: Foundations of Advanced Heart Failure,,,,,,,
"Objectives:
Define and categorize advanced heart failure based on clinical and functional criteria.
Identify key tools for prognostic evaluation and severity stratification.
Recognize the appropriate timing to consider advanced treatment strategies.",,,,,,,
#,LECTURE,LEARN OBJECTIVE,LEARN OBJECTIVE,LEARN OBJECTIVE,LEARN OBJECTIVE,SPEAKER,HARVI CHAPTER
1,"Definition, Identification, and Classification of Advanced Heart Failure",Analyze the diagnostic criteria for defining advanced heart failure based on the latest consensus from the European Society of Cardiology (ESC). Identify the appropriate timing for referring patients to a specialized heart failure center. Apply the classification and prioritization of patients with advanced heart failure using the adapted INTERMACS classification to guide clinical decision-making,,,,"Dra. Isabel Cristina Cárdenas Moreno
Especialista en Cardiología e Insuficiencia Cardiaca
Postgraduate HF Universidad Zurich
Master en Insuficiencia Cardiaca Universidad Rey Juan Carlos
Master Internacional de Hipertensión Pulmonar . Universidad Francisco de Victoria de Madrid
Cardiologa del Hospital Universitario San Rafael . Colombia 
Expresidente Capitulo Cardiología de la Mujer Sociedad Colombiana de Cardiología 
Vicepresidente Sociedad Colombiana de Cardiología 
Presidenta electa Capitulo de Falla Cardiaca , Trasplante e Hipertensión Pulmonar . Sociedad Colombiana de Cardiología 2026-",
2,"Assessment of Advanced Heart Failure – Risk Scores, Echocardiographic and Hemodynamic Criteria","Analyze the main risk predictor scores in the evaluation of patients with advanced heart failure, including Seattle Score, MAGGIC Score, and MECKI Score, among others, and their clinical applicability.
Understand cardiac remodeling comprehensively, its impact on disease progression, and its clinical analysis.
Interpret echocardiographic imaging findings based on hemodynamic and morphological parameters for clinical decision-making.
Evaluate the use of the pulmonary artery catheter in assessing biventricular function, pulmonary artery pressure, and treatment optimization.
Understand pulmonary vasoreactivity testing and its relevance in the evaluation and management of patients with pulmonary hypertension and advanced heart failure",,,,"Dra. Adriana Torres Navas 
Especialidad, Cardiologa especialista en falla cardiaca puesto, líder de medicina cardiovascular de los cobos medical center, directora del programa de falla cardiaca 
Profesora asociada de la facultad de medicina de la universidad el bosque 
Presidente del programa de reacreditacion médica de la sociedad colombiana de cardiología",
3,When to Consider Advanced Options in Patients with Heart Failure?,"Determine when to propose long-term ventricular assist device (LVAD) therapy as a bridge to transplantation or destination therapy.
Identify the selection criteria for entry onto the heart transplant waiting list and the optimal timing in the disease progression.
Recognize clinical situations in which palliative care is the most appropriate option, ensuring comprehensive care focused on the patient's quality of life.",,,,"Médica Internista-Cardióloga. Especialista en Falla Cardiaca y Trasplante Royal Brompton and Harefield Hospital- Hospital Del Mar IMAS - Barcelona.
FACC, FESC, FHFA.
European Board Certified.
Programa de Falla Cardiaca y Trasplante cardiaca LaCardio- Fundación Cardioinfantil.
Expresidente Capítulo Falla Cardiaca, Hipertensión pulmonar y Trasplante SCC.",
4,Psychosocial Evaluation of Candidates for Advanced Management,"Identify the psychological criteria for evaluating candidates for the waiting list.
Analyze the social factors that influence the selection of patients for advanced management.
Understand the role of the psychologist in the evaluation and follow-up within the multidisciplinary team.",,,,"* Fabián Enrique Abril Luna 
* ⁠Colombiano 🇨🇴
* ⁠Psicólogo Hospitalario.

Psicólogo con alta experiencia en el ámbito clínico hospitalario, con 10 años de trayectoria en el manejo integral de pacientes en unidades de cuidados intensivos, soporte con ECMO, procesos de trasplante, asistencia ventricular a corto y largo plazo, falla cardiaca y rehabilitación pulmonar. Mi labor se ha enfocado en el desarrollo e implementación de programas psicológicos con enfoque en la humanización, orientados a mejorar la experiencia del paciente y su familia, optimizando la adaptación al entorno hospitalario como el desarrollo de estrategias de afrontamiento asertivo favoreciendo un proceso de rehabilitación integral",
S1,HARVI Simulation – Phenotypes in Advanced Heart Failure,"Analyze the different phenotypes of advanced heart failure and their impact on clinical decision-making.
Apply HARVI simulation as a tool for hemodynamic assessment and treatment optimization.
Develop individualized management strategies based on the identification of specific phenotypes.
Integrate the use of simulation in the education and training of professionals in advanced heart failure.",,,,"Dr. Leonardo SalazarRenowned cardiac anesthesiologist and intensivist with over two decades of expertise in mechanical circulatory support (MCS), extracorporeal membrane oxygenation (ECMO), and ventricular assist devices (VADs). I established and lead one of Latin America's largest and most advanced ECMO and VAD programs, recognized internationally for excellence in patient outcomes, innovation, and education.
Key achievements include: ✔ Director of a high-volume ECMO and VAD program, exceeding 180 cases per year ✔ Director of the only full-time, one-year ECMO & VAD fellowship in Latin America ✔ First adult HeartMate II LVAD implantation in South America (2014) ✔ Joint Commission International LVAD Center of Excellence accreditation (2019) ✔ Platinum ECMO Center of Excellence by ELSO (2020)",
Module 2: Medical Management of Advanced Heart Failure,,,,,,,
"Objectives:
Implement strategies for optimizing medical treatment in advanced heart failure.
Identify effective approaches for controlling congestion and perfusion in patients with reduced cardiac output.
Analyze the impact and application of neurohormonal therapy in the management of the disease.",,,,,,,
5,Management of Refractory Congestion in INTERMACS 4 Patients,"Analyze protocols for effective decongestion, including evidence from the CARRESS-HF and SMART Trials.
Understand the approach of sequential and total nephron blockade in the management of refractory congestion.
Identify the appropriate timing to initiate renal replacement therapy in patients with advanced heart failure.
Evaluate the use of vasoactive therapy, even in the absence of classic low-output criteria, and differentiate when vasodilation or vasoconstriction is necessary for hemodynamic optimization.
Define the profile of inotropic-requiring patients and their management in the context of advanced heart failure.",,,,"Catalina Gallego Muñoz
Colombia
Especialista en Medicina interna y cardiología clínica
Magister cuidado intensivo cardiovascular
Magister insuficiencia cardiaca
Líder programa falla cardiaca y trasplante de Corazón
Clinica Somer",
6,Inotropic Support in Patients with Low Cardiac Output (INTERMACS 3),"Analyze the most commonly used inotropes in patients with advanced heart failure and their impact on hemodynamic stability.
Understand the main protocols for intermittent inotropic dependency, including the LION trial and LAICA trial.
Learn how to titrate and progressively withdraw inotropic support, optimizing the dose to achieve a balance between hemodynamic support and the reduction of adverse effects.",,,,"Dr. Renzo Paolo Garcia Marquez.
Cardiólogo (Universidad Nacional Mayor de San Marcos- Formación en el Instituto Nacional Cardiovascular-INCOR). 2020- 2023
Fellow ECMO- Soporte circulatorio mecánico (Instituto Cardiovascular-FCV. Fundación Universitaria FCV). 2024 – 2025.
Miembro del Colegio Americano de Cardiología.
Pasantía en Insuficiencia Cardiaca y Trasplante cardiaco- Instituto Cardiovascular. 
Pasantía en Unidad de cuidados intensivos-ECMO- Instituto Cardiovascular. 
Certificación ELSO Foundations, 2023
Maestrando en Gestión de los Servicios de Salud- Universidad San Martin de Porres.
Curso Train de Trainers ECMO-VAD y Canulacion Percutánea de ECMO. 
Curso de Neurocriticos- redEMC- LABIC- Universidad de la Republica de Urugay.
Curso Internacional de Cardiopatía isquémica – Asociación Instituto del Corazón San Pablo.
Curso de soporte vital avanzado organizado por la Subgerencia Escuela de Emergencia de la gerencia de oferta flexible de Essalud.
Formación académica en Cuidados críticos cardiovasculares y ECMO. 
",rgarciam@upao.edu.pe
7,Role of Neurohormonal Therapy in Heart Failure,"Determine the limits of optimization and upward titration of neurohormonal therapy in patients with advanced heart failure.
Analyze the evidence from the LIFE Trial and its impact on the choice between Sacubitril/Valsartan and ARB II in this population.
Review the key lessons from the CONSENSUS Trial and its relevance in current management.
Identify signs of intolerance to neurohormonal therapy and establish criteria for adjustment or discontinuation.",,,,"Dra. Isabel Cristina Cárdenas Moreno
Especialista en Cardiología e Insuficiencia Cardiaca
Postgraduate HF Universidad Zurich
Master en Insuficiencia Cardiaca Universidad Rey Juan Carlos
Master Internacional de Hipertensión Pulmonar . Universidad Francisco de Victoria de Madrid
Cardiologa del Hospital Universitario San Rafael . Colombia 
Expresidente Capitulo Cardiología de la Mujer Sociedad Colombiana de Cardiología 
Vicepresidente Sociedad Colombiana de Cardiología 
Presidenta electa Capitulo de Falla Cardiaca , Trasplante e Hipertensión Pulmonar . Sociedad Colombiana de Cardiología 2026-",
8,Role of Nursing in the Heart Failure Day Clinic,"Understand the role of telemonitoring in the post-discharge vulnerability period for patients with heart failure.
Evaluate the impact of the nursing role in patient education, quality of life perception, and therapeutic adherence.
Define the key functions of the specialized heart failure nurse within the day clinic.",,,,"Rosalynn Denisse Bazán Gallardo. Especialista en enfermería cardillogica egresada (universidad Nacional Mayor de san marcos) , trabajo actual (Instituto Nacional Cardivascular ) , en la unidad de cuidados cardíacos agudos , coordinadora de la unidad de falla cardíaca . Miembro de la sociedad peruana de socimecar. Capacitada como enfermera de unidades de falla cardíaca en la clínica cardiovid - Colombia",
FIRST EXAM,,,,,,,
FIRST Q&A,,,,,,,
Module 3: Interventional Approaches in Advanced Heart Failure,,,,,,,
"Module Objectives:
Evaluate the role of interventional procedures in the treatment of heart failure.
Analyze the utility of procedures such as MitraClip and myocardial revascularization.
Determine the role of right heart catheterization in advanced evaluation.",,,,,,,
9,MitraClip – How Long Is It an Option in the Management of Heart Failure? Evidence from the COAPT Trial,"Identify the clinical and technical criteria for MitraClip implantation, as well as its contraindications. Analyze the findings of the Mitra-FR and COAPT trials and their impact on therapeutic decision-making. Determine the time window in which MitraClip remains an effective strategy to reduce hospitalizations and mortality in patients with advanced heart failure",,,,,
10,Myocardial Revascularization in Advanced Heart Failure – Benefits and Limitations,"Analyze the impact of myocardial revascularization on reducing mortality and hospitalizations in patients with advanced heart failure, based on clinical evidence from the STICH and REVIVED trials. Compare percutaneous and surgical approaches to myocardial revascularization from technical, clinical, and functional perspectives, identifying their indications, benefits, and limitations in the context of advanced heart failure. Evaluate the risk-benefit balance of myocardial revascularization in patients with advanced heart failure progressing toward refractoriness, considering clinical, anatomical, and functional factors that influence decision-making.",,,,,
